index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
0,ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,48,['documentation'],US,1,,,
1,tm84618,Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",US,,tt0075314,8.3,795222
2,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",GB,,tt0071853,8.2,530877
3,tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],GB,,tt0079470,8,392419
4,tm190788,The Exorcist,MOVIE,1973,R,133,['horror'],US,,tt0070047,8.1,391942
5,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",GB,4,tt0063929,8.8,72895
6,tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",US,,tt0066999,7.7,153463
7,tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",US,,tt0058385,7.8,94121
8,tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",US,,tt0080453,5.8,69053
9,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",US,,tt0061418,7.7,111189
10,tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",US,,tt0060862,7.3,16168
11,tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']",US,,tt0054953,7.5,50150
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",US,,tt0079833,7.6,30277
13,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",GB,,tt0079807,8.1,5141
14,tm96649,The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",GB,,tt0081071,6.9,11329
15,tm16479,White Christmas,MOVIE,1954,,115,"['romance', 'comedy', 'music']",US,,tt0047673,7.5,42373
16,tm135083,Cairo Station,MOVIE,1958,,77,"['drama', 'crime', 'comedy']",GB,,tt0051390,7.5,4385
17,tm14491,The Queen,MOVIE,1968,,68,['documentation'],US,,tt0183686,7.2,1117
18,tm89386,Hitler: A Career,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",US,,tt0191182,7.5,2416
19,tm156453,FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",US,,tt0068562,6.2,411
20,tm27298,Saladin the Victorious,MOVIE,1963,,186,"['drama', 'war', 'action', 'history', 'romance']",US,,tt0057357,7.6,2470
21,tm356209,Singapore,MOVIE,1960,,158,"['drama', 'thriller', 'crime']",US,,tt0268639,6.4,82
22,tm204541,Dark Waters,MOVIE,1956,,120,"['drama', 'action', 'romance', 'thriller']",US,,tt0049761,6.7,590
23,tm14350,Alexandria… Why?,MOVIE,1979,,133,['drama'],US,,tt0077751,7.2,1689
24,tm102287,Raya and Sakina,MOVIE,1953,,105,"['drama', 'thriller', 'crime', 'history']",GB,,tt0316472,6.8,231
25,tm76557,No Longer Kids,MOVIE,1979,,235,"['comedy', 'drama']",GB,,tt8312792,9,943
27,tm94651,Dostana,MOVIE,1980,,161,"['drama', 'comedy', 'romance', 'action', 'crime']",GB,,tt0080653,2.1,25
28,tm19608,The Blazing Sun,MOVIE,1954,,100,"['romance', 'crime', 'drama']",US,,tt0044429,7.4,1219
29,ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],US,1,tt0202477,8.1,2144
30,tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,"['drama', 'crime']",US,,tt0074168,7.2,768
31,tm75975,Prince,MOVIE,1969,,152,['romance'],US,,tt0064842,6.9,168
32,tm97793,Lock Your Girls In,MOVIE,1980,,230,['comedy'],US,,,,
33,tm85426,The Witness Who Didn't See Anything,MOVIE,1976,,217,['comedy'],US,,,,
34,tm188894,The School of Mischief,MOVIE,1973,,251,['comedy'],US,,,,
35,tm107372,Manoranjan,MOVIE,1974,,162,"['comedy', 'drama', 'romance']",GB,,tt0071811,6.5,236
36,tm200475,"Beirut, Oh Beirut",MOVIE,1975,,110,['drama'],GB,,tt0169599,6.5,106
37,tm259855,We Are All for the Fatherland,MOVIE,1979,,74,['documentation'],US,,tt0170799,6.2,43
38,tm259684,Whispers,MOVIE,1980,,93,['documentation'],GB,,tt0170803,7.8,75
39,tm344089,Lal Patthar,MOVIE,1971,,153,['drama'],US,,tt0237395,6.2,137
40,tm358653,Ujala,MOVIE,1959,,142,"['romance', 'crime', 'drama']",US,,tt0157132,6.7,78
41,tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,138,"['drama', 'action', 'romance', 'family', 'fantasy']",US,,tt0079749,6.2,555
42,tm10204,Professor,MOVIE,1962,,163,"['romance', 'comedy', 'drama']",US,,tt0056379,6.8,285
43,tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,,135,['romance'],US,,tt3290368,4.6,14
44,tm16812,Bandie,MOVIE,1978,,141,"['drama', 'romance', 'action']",US,,tt1219315,4.2,35
45,tm336403,Khoon Khoon,MOVIE,1973,,131,"['drama', 'crime', 'thriller']",US,,tt0230412,5.1,41
46,tm119776,Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",GB,,tt0092099,6.9,329656
47,ts20681,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],GB,9,tt0098904,8.9,302700
48,tm111075,Stand by Me,MOVIE,1986,R,89,['drama'],US,,tt0092005,8.1,392790
49,tm180542,Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']",GB,,tt0087843,8.3,342335
50,tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",US,,tt0098635,7.7,212913
51,tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']",US,,tt0100758,6.7,92647
52,tm22327,Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']",US,,tt0093058,8.3,723306
53,tm54450,Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",US,,tt0085333,6.7,80945
54,tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],US,,tt0087800,7.4,230543
55,ts22082,Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",US,4,tt0083437,6.9,33760
56,tm145608,Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",US,,tt0099077,7.8,137549
57,ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",GB,24,tt0086815,6.5,4948
58,tm41289,Annie,MOVIE,1982,PG,127,"['drama', 'family', 'comedy']",GB,,tt0083564,6.6,44866
59,tm132694,Pet Sematary,MOVIE,1989,R,103,"['horror', 'fantasy', 'thriller']",US,,tt0098084,6.5,102212
60,ts20678,Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",GB,5,tt0096694,7.1,34854
61,tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['comedy', 'romance']",US,,tt0091939,6.7,14277
